code,offense,ilcs_reference,us_code,ucmj_article,offense_category,index_offense,csa_mvt_without_hierarchy
0110,First Degree Murder,720-5/9-1,,,Homicide,TRUE,
0115,Homicide of an Unborn Child,720-5/9-1.2,,,Homicide,,
0120,Voluntary Manslaughter of an Unborn Child,720-5/9-2.1,,,Homicide,,
0130,Second Degree Murder,720-5/9-2,,,Homicide,TRUE,
0141,Involuntary Manslaughter,720-5/9-3,,,Homicide,,
0142,Reckless Homicide,720-5/9-3,,,Homicide,,
0150,Justifiable Homicide,720-5/7-1,,,Homicide,,
0160,Concealment of Homicidal Death,720-5/9-3.1,,,Homicide,,
0165,Involuntary Manslaughter & Reckless Homicide of an Unborn Child,720-5/9-3.2,,,Homicide,,
0170,Drug Induced Homicide,720-5/9-3.3,,,Homicide,TRUE,
0190,Solicitation for Murder or Murder for Hire,720-5/8-1.1,,,Homicide,,
0190,Solicitation for Murder or Murder for Hire,720-5/8-1.2,,,Homicide,,
0610,Burglary,720-5/19-1,,,Burglary,TRUE,
0625,Residential Burglary,720-5/19-3,,,Burglary,TRUE,
0650,Home Invasion,720-5/12-11,,,Burglary,TRUE,
0710,Theft From Motor Vehicle,720-5/16-1,,,Burglary or Theft From Motor Vehicle,TRUE,
0720,Theft of Motor Vehicle Parts or Accessories,625-5/4-102,,,Burglary or Theft From Motor Vehicle,TRUE,
0720,Theft of Motor Vehicle Parts or Accessories,625-5/4-103,,,Burglary or Theft From Motor Vehicle,TRUE,
0730,Burglary of Motor Vehicle Parts or Accessories,720-5/19-1,,,Burglary or Theft From Motor Vehicle,TRUE,
0760,Burglary From Motor Vehicle,720-5/19-1,,,Burglary or Theft From Motor Vehicle,TRUE,
0770,Vehicular Invasion,720-5/12-11.1,,,Burglary or Theft From Motor Vehicle,TRUE,
0810,Theft Over $300,720-5/16-1,,,Theft,TRUE,
0820,Theft $300 and Under,720-5/16-1,,,Theft,TRUE,
0860,Retail Theft,720-5/16A-3,,,Theft,TRUE,
0865,Delivery Container Theft,720-5/16E-3,,,Theft,TRUE,
0870,Pocket-Picking,720-5/16-1,,,Theft,TRUE,
0880,Purse-Snatching,720-5/16-1,,,Theft,TRUE,
0890,Theft From Building,720-5/16-1,,,Theft,TRUE,
0895,Theft From Coin-Operated Machine or Device,720-5/16-5,,,Theft,TRUE,
0260,Criminal Sexual Assault,720-5/12-13,,,Criminal Sexual Assault,TRUE,
0261,Aggravated Criminal Sexual Assault,720-5/12-14,,,Criminal Sexual Assault,TRUE,
0262,Forcible Sodomy,720-5/12-16,,,Criminal Sexual Assault,,TRUE
0280,Predatory Criminal Sexual Assault of a Child,720-5/12-14.1,,,Criminal Sexual Assault,TRUE,
0281,Criminal Sexual Assault With an Object,720-5/12-14,,,Criminal Sexual Assault,,TRUE
0310,Armed Robbery,720-5/18-2,,,Robbery,TRUE,
0320,Robbery,720-5/18-1,,,Robbery,TRUE,
0325,Vehicular Hijacking,720-5/18-3,,,Robbery,TRUE,TRUE
0326,Aggravated Vehicular Hijacking,720-5/18-4,,,Robbery,TRUE,TRUE
0330,Aggravated Robbery,720-5/18-5,,,Robbery,TRUE,
0910,Motor Vehicle Theft,720-5/16-1,,,Motor Vehicle Theft,TRUE,
0910,Motor Vehicle Theft,625-5/4-103,,,Motor Vehicle Theft,TRUE,
1010,Arson,720-5/20-1,,,Arson,TRUE,
1010,Arson,720-5/20-1.2,,,Arson,TRUE,
1010,Arson,720-5/20-1.3,,,Arson,TRUE,
1025,Aggravated Arson,720-5/20-1.1,,,Arson,TRUE,
1030,"Possession: Explosives, Incendiary Device",720-5/20-2,,,Arson,,
1310,Criminal Damage to Property under $150 by means of fire or explosive,720-5/21-1(1)(B),,,Arson,TRUE,
